ts	phase	decision	why	evidence	result
2026-08-23T00:00Z	ENV	Boot root cause identified: CLI 2.33.9 pins storage-api tag object-versioning-core whose Docker dist is empty -> container crash-loops -> storage schema never created -> cold boot dies at migration 20260819400000 (relation storage.buckets does not exist)	Deterministic failure across repeated resets; needed root cause before any fix could be trusted	docker logs storage-api (distroless no-shell crash loop); migration error line	CONFIRMED
2026-08-23T00:05Z	ENV	Fix stack two-part: retag local image supabase/storage-api:latest (v1.11.2) onto tag object-versioning-core AND upgrade CLI to npx supabase@2.115.0 for correct service ordering	Retag alone insufficient under old CLI ordering; CLI upgrade deviates from README pin 2.33.9 -> logged as finding F-ENV-1	supabase start: all containers healthy, 85 migrations applied, seed loaded 12 stores	BOOT OK
2026-08-23T00:10Z	ENV	Deleted debug-debris migrations 20260823140000_diag_probe_env.sql and 20260823150000_drop_probe_env.sql	Prior-session artifacts containing SECURITY DEFINER env probe granted to anon - active security hazard to carry into stress tests	db reset passes without them; git status no longer lists them	DELETED
2026-08-23T00:12Z	ENV	Retained untracked fix migrations fix_register_current_session_ambiguity.sql and fix_deferred_trip_triggers_invoker_context.sql	Both apply cleanly and address real defects (same-named functions ambiguous across app_public/app_private; deferred-trigger invoker context)	Applied within 85-migration boot without warnings	RETAINED
2026-08-23T00:14Z	ENV	Reverted config.toml workarounds: [storage] enabled=true restored, api.schemas restored to public,app_public,graphql_public; deleted abandoned shim migration and scripts/stress/bootstrap-storage.ps1	Workarounds obsolete once storage boots properly; repo stays clean for CI parity	git diff shows only pre-existing [auth.email] additions (untouched)	REVERTED
2026-08-23T00:30Z	ENV	PostgREST visibility gap fixed: authenticator role lacked USAGE on schema app_public; granted USAGE then NOTIFY pgrst reload schema	Local init does not provision what hosted Supabase does; grant is volume-local and vanishes on db reset - must live in post-boot runbook	has_schema_privilege(authenticator,app_public)=f before, t after; PGRST202 disappeared	FIXED-RUNBOOK
2026-08-23T00:32Z	ENV	Every RPC request carries Accept-Profile and Content-Profile app_public headers	Multi-schema exposure defaults resolution to first listed schema (public); matches README requirement that browser client sets database schema to app_public	headerless probes returned PGRST202 searching public.catalog_list; headered probes resolved	DOCUMENTED
2026-08-23T00:40Z	ENV	EXECUTE on catalog_list/catalog_details/catalog_freshness/catalog_today deliberately withheld from anon/authenticated/service_role; granted to catalog_reader and synthetic_catalog_automation	Gateway-only architecture per supabaseClient.ts comment (browser never receives execution rights on catalog RPCs)	aclexplode dump of proacl for app_public catalog routines	BY-DESIGN
2026-08-23T00:45Z	ENV	Authorized stress caller established: mint HS256 JWT with role=catalog_reader using known local demo secret; required GRANT catalog_reader TO authenticator because PostgREST SET ROLE needs authenticator membership	Replicates the production gateway DB identity without serving the Deno edge function locally (currently 503); second membership grant also volume-local -> post-boot runbook	POST /rest/v1/rpc/catalog_list -> HTTP 200 with 12-store JSON	HOT PATH PROVEN
2026-08-23T00:50Z	ENV	Finding F-SEC-1 flagged: .env.local points VITE_SUPABASE_URL at HOSTED project https://uaupykgpegbseboklubv.supabase.co including sb_secret service-role credential	All load traffic must stay pinned to 127.0.0.1:54321; hosted exposure risk if harness ever reads wrong env file	.env.local contents inspected	FLAGGED
2026-08-23T01:00Z	EXPLORE	k6 targets direct REST RPC paths: anonymous-browse simulated with catalog_reader JWT; shopper journeys with seeded authenticated JWTs; NOT through local edge gateway	Edge gateway 503 locally and its Deno hop would not represent hosted behavior anyway; direct RPC isolates Postgres+PostgREST which is the SUT	Decision recorded here	CHOSEN
2026-08-23T01:02Z	EXPLORE	Volume seeder inserts auth.users rows directly via SQL (plus app_private.profiles)	GoTrue enable_signup=false locally and auth.users currently empty (count=0); SQL insert is deterministic and fast	auth_users=0 verified; config [auth.email] enable_signup=false	PLANNED
2026-08-23T11:06:53	FINDINGS	Filed repair tickets 97-104 covering boot chain, auth provider mapping, authenticator grants, env secret, profiles gate, untracked fix migrations, PGRST202 probe, gateway serving	All weaknesses on record per user request	8 issues created on samarquis/AntiqueTrail	issues open
2026-08-23T11:06:53	BASELINE	PGRST202-after-restart traced to harness splat bug, not stack; issue 103 closed not-planned	Inline-header replay returned 200 post-restart	issue 103 comment + transcript	product transport healthy
2026-08-23T11:06:53	BASELINE	Runner must refresh access tokens per phase; local JWT TTL ~3600s	401 JWT expired observed mid-chain after restart	auth retry in transcript	token rotation added to K6 design requirements
2026-08-24T11:54:26	FIX	Issue 99 repaired by migration 20260824000000_post_boot_authenticator_privileges.sql: grant usage on app_public to authenticator + grant catalog_reader to authenticator + notify pgrst; pgTAP supabase/tests/0070 locks the contract	Volume-local ad hoc grants vanished on every reset; migrations replay identically on local db reset and any hosted push so provisioning holds by design rather than by drift	db reset exit 0 applying 20260824000000; has_schema_privilege/pg_has_role t|t with zero manual steps after reset; POST /rest/v1/rpc/catalog_list as catalog_reader JWT -> HTTP 200 with 12 synthetic stores; anon control 401 permission denied keeping BY-DESIGN execute boundary	committed
2026-08-24T11:54:26	TOOL	npm run db:post-boot pipes scripts/stress/post-boot.sql into the running container (psql ON_ERROR_STOP=1)	Same idempotent repair for a drifted RUNNING volume where a destructive db reset is unwanted; trailing DO block makes failure exit nonzero	on the stale pre-reset volume f|f -> script exit 0 -> t|t; fresh reset then needs no manual step at all	runbook proven
